kind,code,SuperClassCode,currency,definition,fdacode,fdaterm,imdrfcode,imdrfterm,inclusion,preferred,pronunciation,report,termlevel
terminology,A01,,,,,,,,,,,,
layer1,A01_DeviceProblem,A01,,,,,,,,,,,
layer2,A01-a0001,A01_DeviceProblem,Y,,,,,,,動作不良,どうさふりょう,not report,L1
layer3,A01-a0002,A01-a0001,Y,電源を投入しても適切に起動しない。,-,-,A070803,,,起動不良,きどうふりょう,report,L2
layer3,A01-a0003,A01-a0001,Y,動作が不安定なこと。,1667,Unstable,A051207,,,動作不安定,どうさふあんてい,report,L2
layer3,A01-a0004,A01-a0001,Y,期待した動作でないこと。,1430,"System motion, unintended",A051206,,意図しない動作,誤動作,いとしないどうさ,report,L2
layer3,A01-a0005,A01-a0001,Y,設定した位置に停止しないこと。,-,-,A051204,,,停止位置不良,ていしいちふりょう,report,L2
layer3,A01-a0006,A01-a0001,Y,意図したブレーキ力が働かないこと。,-,-,A150101,,,ブレーキ不良,ぶれーきふりょう,report,L2
layer3,A01-a0007,A01-a0001,Y,装置が制御不能になること。,1663,Device Inoperable,A1501,,,暴走,ぼうそう,report,L2
layer3,A01-a0008,A01-a0001,Y,一部又は全部の機能が停止すること。,1663,"Device, inoperable",A26,,,機能停止,きのうていし,report,L2
layer3,A01-a0009,A01-a0001,Y,コンピューターが、暴走などにより入力をいっさい受けつけず、作動も機能もしなくなること。またはその状態。フリーズも含む。,-,-,A11,,フリーズ,ハングアップ,ふりーず,report,L2
layer3,A01-a0010,A01-a0001,Y,意図した力を超える力で強くおしつけられること。,-,-,A051201,,,圧迫力過剰,あっぱくりょくかじょう,report,L2
layer3,A01-a0011,A01-a0001,Y,圧迫力が意図した力よりも小さいこと。,-,-,A051201,,,圧迫力不足,あっぱくりょくぶそく,report,L2
layer3,A01-a0012,A01-a0001,Y,警告表示、警告音等が異常となる。,2967,Issue with displayed error message,A160106,,,警告異常,けいこくいじょう,report,L2
layer3,A01-a0013,A01-a0001,Y,通常とは違う音がすること。,-,-,A0508,,,異音,いおん,report,L2
layer2,A01-a0014,A01_DeviceProblem,Y,,,,,,,モニター不良,もにたーふりょう,not report,L1
layer3,A01-a0015,A01-a0014,Y,ディスプレイモニターが物理的、電気的に故障すること。,-,-,A0902,,,モニターの故障,もにたーのこしょう,report,L2
layer3,A01-a0016,A01-a0014,Y,ディスプレイモニターに表示する位置、形が不良なこと。,1408,"Monitor, image quality poor",A090208,,,モニターの表示不良（ズレ、歪）,もにたーのひょうじふりょう（ずれ、ひずみ）,report,L2
layer3,A01-a0017,A01-a0014,Y,ディスプレイモニターに意図しない表示をすること。,1304,Image display error,A090201,,,モニターの誤表示,もにたーのごひょうじ,report,L2
layer2,A01-a0018,A01_DeviceProblem,Y,,,,,,,機械異常,きかいいじょう,not report,L1
layer3,A01-a0019,A01-a0018,Y,ぶつかること（機械が動いて人や物にぶつかること）。,1429,"Collision, unintended",A051205,,,衝突,しょうとつ,report,L2
layer3,A01-a0020,A01-a0018,Y,ネジ、ロック等が緩むこと。,1371,Loose or Intermittent Connection,A05,,,緩み,ゆるみ,report,L2
layer3,A01-a0021,A01-a0018,Y,構成部品などが、抜け落ちること。,1105,Component(s) falling,A0501,,落下,脱落,らっか,report,L2
layer3,A01-a0022,A01-a0018,Y,医療機器が倒れること。,2589,Tip-over,A051202,,,転倒,てんとう,report,L2
layer3,A01-a0023,A01-a0018,Y,意図した電気的接続がされないこと。,2900,Connection Issue,A0710,,,接触不良,せっしょくふりょう,report,L2
layer3,A01-a0024,A01-a0018,Y,装置、または部品が熱を発すること。,1437,Overheating of Device or Device Component,A10,,,発熱,はつねつ,report,L2
layer3,A01-a0025,A01-a0018,Y,規定（想定）した温度を超えること。,-,-,A10,,,過熱,かねつ,report,L2
layer3,A01-a0026,A01-a0018,Y,通常とは異なる匂いが発生すること。,-,-,A0301,,,異臭,いしゅう,report,L2
layer3,A01-a0027,A01-a0018,Y,煙が発生すること(基板、部品等)。,1585,Smoking,A1009,,,発煙,はつえん,report,L2
layer3,A01-a0028,A01-a0018,Y,基板、部品等が焼けて壊れる（装置の外部には炎が出ない）こと。,1071,Burn of Device or Device Component,A1006,,,焼損,しょうそん,report,L2
layer3,A01-a0029,A01-a0018,Y,火がでること。（装置の外部に炎が出ること）。,1245,Fire,A1007,,,発火,はっか,report,L2
layer3,A01-a0030,A01-a0018,Y,液体がもれること。,1250,Fluid leak(s),A050401,,,液漏れ,えきもれ,report,L2
layer3,A01-a0031,A01-a0018,Y,気体（ガス、空気など）がもれること、真空状態が悪化すること。,2946,Gas Leak,A050402,,,気体漏れ,きたいもれ,report,L2
layer2,A01-a0032,A01_DeviceProblem,Y,,,,,,,破損,はそん,not report,L1
layer3,A01-a0033,A01-a0032,Y,物理的、電気的に損傷していること。,1069,Break,A0401,,,損傷,そんしょう,report,L2
layer3,A01-a0034,A01-a0032,Y,他の医療機器との組み合わせる影響で破損すること。,-,-,A0502,,,組合せ機器による破損,くみあわせききによるはそん,report,L2
layer3,A01-a0035,A01-a0032,Y,金属などの構造物が、衝撃や疲労などの原因で破壊すること。,1260,Fracture(s) of device//material,A0401,,,破断,はだん,report,L2
layer3,A01-a0036,A01-a0032,Y,内部からの圧力などによって、勢いよく割れさけること。,-,-,A0402,,,破裂,はれつ,report,L2
layer2,A01-a0037,A01_DeviceProblem,Y,,,,,,,意図しない効果,いとしないこうか,not report,L1
layer3,A01-a0038,A01-a0037,Y,物質が急激な化学変化または物理変化を起こし、体積が一瞬に著しく増大して、音や破壊作用を伴う現象。,1074,Burst,A0402,,,爆発,ばくはつ,report,L2
layer3,A01-a0039,A01-a0037,Y,機器が発生する電磁波により、他の機器へ誤動作をひき起こすこと、または引き起こされること。,1194,"Electro-magnetic interference (EMI), compatibility/incompatibility",A0720,,,電磁干渉,でんじかんしょう,report,L2
layer3,A01-a0040,A01-a0037,Y,ＭＲＩ診断装置などの強磁場により磁性体が吸い付けられた結果、架台などにくっついた状態のこと。,-,-,A2303,,吸引,吸着,きゅういん,report,L2
layer3,A01-a0041,A01-a0037,Y,ＭＲＩ装置の超伝導状態の異常による冷媒の異常蒸発をいう。,1377,"Magnet quench, unintended",A0403,,,クエンチ,くえんち,report,L2
layer2,A01-a0042,A01_DeviceProblem,Y,,,,,,,干渉,かんしょう,not report,L1
layer3,A01-a0043,A01-a0042,Y,物や人にぶつかること。,1429,Unintended Collision,A051205,,,干渉,かんしょう,report,L2
layer3,A01-a0044,A01-a0042,Y,四肢（手、指、足）、胴、頭・頸部などを挟むこと。,-,-,A0511,,挟み込み,挟み,はさみこみ,report,L2
layer3,A01-a0045,A01-a0042,Y,巻き込まれること。,-,-,A0511,,巻き込まれ,巻き込み,まきこまれ,report,L2
layer2,A01-a0046,A01_DeviceProblem,Y,,,,,,,誤照射,ごしょうしゃ,not report,L1
layer3,A01-a0047,A01-a0046,Y,放射線が意図せずに過剰に照射されること。,3017,Radiation overexposure,A090502,,,過剰照射,かじょうしょうしゃ,report,L2
layer3,A01-a0048,A01-a0046,Y,放射線が意図せずに少なく照射されること。,3018,Radiation underexposure,A090503,,,過少照射,かしょうしょうしゃ,report,L2
layer3,A01-a0049,A01-a0046,Y,放射線が意図しない部位へ照射されること。,1508,Radiation delivered to incorrect body area,A090407,,,照射位置ずれ,しょうしゃいちずれ,report,L2
layer2,A01-a0050,A01_DeviceProblem,Y,,,,,,,劣化,れっか,not report,L1
layer3,A01-a0051,A01-a0050,Y,性能が以前より劣ってくること。,-,-,A0908,,,性能劣化,せいのうれっか,report,L2
layer3,A01-a0052,A01-a0050,Y,品質が以前より劣ってくること。,-,-,A0908,,,品質劣化,ひんしつれっか,report,L2
layer3,A01-a0053,A01-a0050,Y,画質が以前より劣ってくること。,-,-,A090208,,画質低下,画質劣化,がしつていか,report,L2
layer2,A01-a0054,A01_DeviceProblem,Y,,,,,,,誤穿刺,ごせんし,not report,L1
layer3,A01-a0055,A01-a0054,Y,間違った部位を穿刺すること。,-,-,A0803,,,誤穿刺,ごせんし,report,L2
layer2,A01-a0056,A01_DeviceProblem,Y,,,,,,,汚染,おせん,not report,L1
layer3,A01-a0057,A01-a0056,Y,菌、血液、薬剤などで汚れること。,1120,Contamination,A1801,,,汚染,おせん,report,L2
layer2,A01-a0058,A01_DeviceProblem,Y,,,,,,,異常画像,いじょうがぞう,not report,L1
