"薬効分類","新旧","販売名","添付文書番号","更新日","業者１","業者２","業者３","製造販売元"
"全身麻酔剤：24","","1%ディプリバン注−キット／...","1119402G1025_2_04","2023年09月28日","製造販売／サンドファーマ株式会社","販売／サンド株式会社","","サンドファーマ株式会社"
"全身麻酔剤：24","","1%ディプリバン注／1%...","1119402A1022_2_04","2023年09月28日","製造販売／サンドファーマ株式会社","販売／サンド株式会社","","サンドファーマ株式会社"
"全身麻酔剤：24","","アネスタ","1116700X1126_1_02","2022年04月01日","製造販売元／株式会社星医療酸器","","","株式会社星医療酸器"
"全身麻酔剤：24","","アネレム静注用50mg","1119403F1024_1_01","2020年08月07日","製造販売元／ムンディファーマ株式会社","","","ムンディファーマ株式会社"
"全身麻酔剤：24","","イソゾール注射用0.5g","1115403D3043_1_03","2022年04月22日","製造販売元／日医工株式会社","","","日医工株式会社"
"全身麻酔剤：24","","イソフルラン吸入麻酔液「VTRS」","1119701G1106_1_03","2024年07月01日","製造販売元／ヴィアトリス・ヘルスケア合同会社","販売元／ヴィアトリス製薬合同会社","","ヴィアトリス・ヘルスケア合同会社"
"全身麻酔剤：24","","ケタラール筋注用500mg","1119400A2038_3_05","2020年01月21日","製造販売元／第一三共プロファーマ株式会社","販売元／第一三共株式会社","","第一三共プロファーマ株式会社"
"全身麻酔剤：24","","ケタラール静注用50mg／...","1119400A1031_3_10","2020年01月21日","製造販売元／第一三共プロファーマ株式会社","販売元／第一三共株式会社","","第一三共プロファーマ株式会社"
"全身麻酔剤：24","","スープレン吸入麻酔液","1119703G1024_2_01","2024年01月01日","製造販売元／製造販売業者（輸入元）バクスター・ジャパ","","","バクスター・ジャパ"
"全身麻酔剤：24","","セボフルラン吸入麻酔液「VTRS」","1119702G1089_1_04","2024年07月01日","製造販売元／ヴィアトリス・ヘルスケア合同会社","販売元／ヴィアトリス製薬合同会社","","ヴィアトリス・ヘルスケア合同会社"
"全身麻酔剤：24","","セボフルラン吸入麻酔液「ニッコ...","1119702G1070_1_03","2023年06月16日","製造販売元／日興製薬株式会社","販売提携／丸石製薬株式会社","","日興製薬株式会社"
"全身麻酔剤：24","","セボフレン吸入麻酔液","1119702G1062_1_10","2023年06月13日","製造販売元／丸石製薬株式会社","","","丸石製薬株式会社"
"全身麻酔剤：24","","チトゾール注用0.3g／...","1115403D3051_2_02","2024年05月07日","製造販売元／杏林製薬株式会社","","","杏林製薬株式会社"
