
設備生産性 １１月 ( 作業日 2024/11/01 ～ 2024/11/30 ) 発行 2024/12/02 15:56 

稼働 負荷 段取 加工 その他 点数 段取 実加工 操 ｶﾄﾞ 分 分 数量 
分類名 昼夜 機械･ｸﾞﾙｰﾌﾟ 日数 時間 時間 時間 時間 (ｶﾝﾘｮｳ) 回数 数量 業 ｳﾘﾂ /ﾃﾝ /ｶｲ /ｶｺｳｼﾞ 

ﾄﾔﾏ.ｵｵﾀﾞﾁ Ａ昼 1ｺﾞｳｷ 11 90.92 84.25 0.00 6.67 143 143 461,415 110 93 35 35 0 
ﾄﾔﾏ.ｵｵﾀﾞﾁ Ａ昼 2ｺﾞｳｷ 10 75.42 70.83 0.00 4.58 212 212 137,705 101 94 20 20 0 
ﾄﾔﾏ.ｵｵﾀﾞﾁ Ａ昼 3ｺﾞｳｷ 11 82.75 77.08 0.00 5.67 109 109 367,980 100 93 42 42 0 
ﾄﾔﾏ.ｵｵﾀﾞﾁ Ａ夜 1ｺﾞｳｷ 9 69.08 63.00 0.00 6.08 62 62 319,415 102 91 61 61 0 
ﾄﾔﾏ.ｵｵﾀﾞﾁ Ａ夜 2ｺﾞｳｷ 9 67.58 61.75 0.00 5.83 164 164 169,040 100 91 23 23 0 
ﾄﾔﾏ.ｵｵﾀﾞﾁ Ａ夜 3ｺﾞｳｷ 9 67.50 63.25 0.00 4.25 78 78 311,900 100 94 49 49 0 
ﾄﾔﾏ.ｵｵﾀﾞﾁ Ｂ昼 1ｺﾞｳｷ 9 71.00 64.50 0.00 6.50 82 82 487,245 105 91 47 47 0 
ﾄﾔﾏ.ｵｵﾀﾞﾁ Ｂ昼 2ｺﾞｳｷ 9 68.67 63.92 0.00 4.75 159 159 196,590 102 93 24 24 0 
ﾄﾔﾏ.ｵｵﾀﾞﾁ Ｂ昼 3ｺﾞｳｷ 9 67.50 61.75 0.00 5.75 73 73 301,710 100 91 51 51 0 
ﾄﾔﾏ.ｵｵﾀﾞﾁ Ｂ夜 1ｺﾞｳｷ 11 81.75 74.08 0.00 7.67 60 60 500,175 99 91 74 74 0 
ﾄﾔﾏ.ｵｵﾀﾞﾁ Ｂ夜 2ｺﾞｳｷ 11 82.50 74.75 0.00 7.75 155 155 265,445 100 91 29 29 0 
ﾄﾔﾏ.ｵｵﾀﾞﾁ Ｂ夜 3ｺﾞｳｷ 11 82.00 76.42 0.00 5.58 67 67 337,355 99 93 68 68 0 

ﾄﾔﾏ.ｲﾝｻﾂLB Ａ昼 PLX3 12 102.12 35.03 46.48 20.60 86 87 414,320 113 80 24 24 8,913 
ﾄﾔﾏ.ｲﾝｻﾂLB Ａ昼 PL19 13 113.53 42.45 38.15 32.93 81 82 420,810 116 71 31 31 11,030 
ﾄﾔﾏ.ｲﾝｻﾂLB Ａ昼 PL20A 5 42.45 22.55 7.90 12.00 23 23 67,680 113 72 59 59 8,567 
ﾄﾔﾏ.ｲﾝｻﾂLB Ａ昼 PL3A 1 1.98 0.13 0.53 1.32 1 1 3,750 26 34 8 8 7,031 
ﾄﾔﾏ.ｲﾝｻﾂLB Ａ昼 PL6A 4 16.62 2.90 9.75 3.97 6 6 88,560 55 76 29 29 9,083 
ﾄﾔﾏ.ｲﾝｻﾂLB Ａ昼 PL7A 11 104.10 35.08 38.67 30.35 54 55 314,485 126 71 39 38 8,133 
ﾄﾔﾏ.ｲﾝｻﾂLB Ａ夜 PLX3 9 72.60 24.63 30.58 17.38 72 72 262,725 108 76 21 21 8,590 
ﾄﾔﾏ.ｲﾝｻﾂLB Ａ夜 PL19 9 75.85 34.07 23.27 18.52 71 71 263,030 112 76 29 29 11,305 
ﾄﾔﾏ.ｲﾝｻﾂLB Ａ夜 PL6A 1 3.33 1.70 0.63 1.00 1 1 2,400 44 70 102 102 3,789 
ﾄﾔﾏ.ｲﾝｻﾂLB Ａ夜 PL7A 9 77.20 31.52 32.02 13.67 54 55 287,920 114 82 35 34 8,993 
ﾄﾔﾏ.ｲﾝｻﾂLB Ｂ昼 PLX3 8 76.15 29.20 34.65 12.30 56 57 316,805 127 84 31 31 9,143 
ﾄﾔﾏ.ｲﾝｻﾂLB Ｂ昼 PL19 9 85.27 41.03 22.70 21.53 72 72 257,310 126 75 34 34 11,335 
ﾄﾔﾏ.ｲﾝｻﾂLB Ｂ昼 PL20A 4 31.38 14.97 7.40 9.02 14 14 59,650 105 71 64 64 8,061 
ﾄﾔﾏ.ｲﾝｻﾂLB Ｂ昼 PL3A 4 27.67 11.20 7.05 9.42 18 19 63,760 92 66 37 35 9,044 
ﾄﾔﾏ.ｲﾝｻﾂLB Ｂ昼 PL6A 7 62.50 23.65 28.68 10.17 51 51 258,025 119 84 28 28 8,996 
ﾄﾔﾏ.ｲﾝｻﾂLB Ｂ昼 PL7A 9 82.80 25.00 30.27 27.53 51 52 268,335 123 67 29 29 8,866 
ﾄﾔﾏ.ｲﾝｻﾂLB Ｂ夜 PLX3 7 56.17 21.30 22.18 12.68 38 38 234,080 107 77 34 34 10,552 
ﾄﾔﾏ.ｲﾝｻﾂLB Ｂ夜 PL19 11 98.75 47.55 33.82 17.38 81 81 370,045 120 82 35 35 10,943 
ﾄﾔﾏ.ｲﾝｻﾂLB Ｂ夜 PL20A 5 32.18 16.02 9.12 7.05 20 20 78,720 86 78 48 48 8,635 
ﾄﾔﾏ.ｲﾝｻﾂLB Ｂ夜 PL3A 6 47.55 17.83 16.83 12.88 35 35 135,880 106 73 31 31 8,072 
ﾄﾔﾏ.ｲﾝｻﾂLB Ｂ夜 PL6A 11 85.63 30.58 36.43 18.62 65 65 331,750 104 78 28 28 9,106 
ﾄﾔﾏ.ｲﾝｻﾂLB Ｂ夜 PL7A 11 92.77 23.52 45.13 24.12 48 48 378,180 112 74 29 29 8,379 
ﾄﾔﾏ.ｲﾝｻﾂSB Ａ昼 PS1A 11 102.97 54.13 26.18 22.65 113 113 174,759 125 78 29 29 6,674 
ﾄﾔﾏ.ｲﾝｻﾂSB Ａ夜 PS1A 9 76.77 43.60 17.25 15.92 80 81 123,060 114 79 33 32 7,134 

ﾄﾔﾏ.ｲﾝｻﾂﾄｸｼｭ Ｂ昼 CD1 9 70.75 29.20 24.02 17.53 54 54 189,722 105 75 32 32 7,900 
ﾄﾔﾏ.ｲﾝｻﾂﾄｸｼｭ Ｂ夜 CD1 10 72.12 33.72 25.12 13.28 55 55 166,921 96 82 37 37 6,646 

ﾄﾔﾏ.ﾋｮｳﾒﾝｶｺｳ Ａ昼 G3 9 62.75 15.57 30.67 16.52 11 15 50,630 93 74 85 62 1,651 
ﾄﾔﾏ.ﾋｮｳﾒﾝｶｺｳ Ａ夜 G3 6 38.08 7.95 18.70 11.43 9 9 35,811 85 70 53 53 1,915 
